date,BERT,DEEPSEEK,LLAMA
2021-09-30,0.072089676405777,-0.0127937227259053,0.1134113758309374
2021-10-31,0.0280911933099905,-0.0526558742032253,0.1029149507576182
2021-11-30,0.0109573060015694,-0.0594500750283517,0.090990407847726
2021-12-31,0.0016760573734898,-0.0375367294742295,0.0490431904065326
2022-01-31,0.0162653805403082,-0.0557119046494046,0.0377503623537957
2022-02-28,0.0130523756722873,-0.0866350933792794,0.0111575927125332
2022-03-31,-0.0155085722285097,-0.1308923359356776,-0.0268996471674234
2022-04-30,-0.0513861416377824,-0.1415830353055677,-0.0533139853805688
2022-05-31,-0.0866424964115378,-0.1562225511583443,-0.085179025037258
2022-06-30,-0.1046192008279035,-0.162506827384671,-0.1003187545356875
2022-07-31,-0.1203088950176639,-0.1688610559075631,-0.1424276828864867
